;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;X_policy_premium;U;prob_acceptance;Z
6243;23606;56.0;45.0;8;5;0;5;0;4.0;23.0;253.7045;1.0713251046000367;0.9330622255802155;1
6318;23759;66.0;45.0;7;6;0;3;1;23.0;23.0;270.3933;1.0775414923372733;0.890012115240097;1
6381;24026;77.0;45.0;2;1;0;1;0;14.0;23.0;168.4027;1.1066924698950789;0.9205305501818657;1
6421;24133;68.0;45.0;4;0;0;1;0;17.0;23.0;212.3922;1.0631746363567023;0.9358914941549301;1
6617;24856;81.0;45.0;8;1;0;1;0;22.0;23.0;229.246;1.0062116678153599;0.9336524829268456;1
6931;25866;65.0;45.0;5;7;0;2;0;19.0;23.0;242.4598;1.0876029758335195;0.9238835051655769;1
7163;26731;85.0;45.0;5;7;0;3;0;25.0;23.0;217.4783;1.0872349103335828;0.9354439228773117;1
7206;26863;68.0;45.0;4;2;0;4;1;20.0;22.0;300.3;1.0894438894438894;0.9426805004477501;1
7516;27792;46.0;45.0;5;2;0;7;0;20.0;22.0;174.2;1.1087830080367396;0.9491824172437191;0
7711;28326;54.0;45.0;5;2;0;3;0;16.0;22.0;175.8623;1.097051499951951;0.9409623891115189;1
7851;28834;59.0;45.0;8;1;0;2;5;10.0;23.0;176.67;1.0967906265919511;0.9247209951281548;1
7895;28936;67.0;45.0;4;1;0;1;0;15.0;22.0;139.55;1.1085632389824434;0.9430978670716286;1
7985;29187;68.0;45.0;5;2;0;4;0;25.0;22.0;204.45;1.0633895818048422;0.954169251024723;1
7996;29226;72.0;45.0;5;7;0;2;0;24.0;22.0;181.54;1.1139142888619589;0.9187608733773232;1
8115;29660;62.0;45.0;2;7;0;1;0;17.0;22.0;215.17;1.0942510573035276;0.864142656326294;1
8138;29709;48.0;45.0;3;2;0;1;0;17.0;22.0;202.05;1.1041821331353625;0.8894274607300758;1
8150;29750;71.0;45.0;5;1;0;2;0;27.0;22.0;159.84;1.0492367367367368;0.9652000442147255;1
8164;29779;81.0;45.0;5;6;0;2;0;29.0;22.0;149.34;1.0842373108343377;0.913810059428215;1
8180;29812;71.0;45.0;5;1;0;3;0;22.0;22.0;162.45;1.108833487226839;0.9405196756124496;1
8241;29970;80.0;45.0;7;2;0;2;0;5.0;22.0;181.16;1.1038860675645839;0.9260014072060585;1
8281;30055;71.0;45.0;5;7;0;2;0;20.0;22.0;155.83;1.1234678816659178;0.9411874487996101;1
8358;30440;61.0;45.0;5;1;1;3;0;20.0;22.0;175.88;1.0990448032749602;0.9333967566490173;1
8378;30496;59.0;45.0;4;7;0;8;0;24.0;22.0;231.6993;1.0521395619235794;0.9718979392200708;1
