;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
3286288;5487736;42.0;47.5;8;2;0;1;0;25.0;0.0;174.5596;1.0521334833489537;171.8400421142578
3286291;5487741;46.0;47.5;9;0;1;3;0;30.0;0.0;112.7153;1.1064158991725168;113.35698699951172
3286292;5487744;51.0;45.0;5;1;1;1;0;8.0;0.0;160.2887;1.068447120726539;165.48870849609375
3286293;5487745;62.0;55.0;1;0;0;3;0;13.0;0.0;123.4958;1.0965555103898268;142.15853881835938
3286295;5487748;45.0;57.5;8;1;0;3;0;15.0;0.0;156.4255;1.1326158458819053;169.071533203125
3286303;5487762;49.0;62.5;4;1;0;2;3;29.0;0.0;176.1316;1.084246097804142;171.24188232421875
3286306;5487768;66.0;45.0;10;1;0;1;0;31.0;0.0;121.5049;1.074113060460936;125.12828826904297
3286308;5487771;37.0;67.5;4;1;0;2;3;26.0;0.0;198.6798;1.0971925681423074;187.6549072265625
3286309;5487773;59.0;45.0;2;2;2;5;0;25.0;0.0;162.7419;1.0592846710035952;168.85462951660156
3286314;5487779;44.0;45.0;3;5;1;8;0;13.0;0.0;186.9541;1.0426623433238427;172.89817810058594
3286320;5487787;66.0;65.0;8;2;0;1;0;20.0;0.0;159.0583;1.097082013324674;211.48904418945312
3286324;5487796;30.0;55.0;7;4;0;1;0;27.0;0.0;153.3939;1.0967841615605314;204.32916259765625
3286326;5487798;28.0;77.5;10;5;0;1;0;18.0;0.0;255.3445;1.0974976942914376;254.70285034179688
3286327;5487799;42.0;77.5;5;1;1;1;0;8.0;0.0;193.5239;1.0970221249158374;212.76126098632812
3286328;5487800;88.0;45.0;8;1;0;1;0;23.0;0.0;162.2695;1.096940583412163;155.9940643310547
3286329;5487801;73.0;50.0;8;2;0;2;5;8.0;0.0;277.0052;1.1271629557856677;227.90650939941406
3286331;5487807;59.0;45.0;7;1;0;1;0;14.0;0.0;192.9555;1.1069909901505788;156.53326416015625
3286335;5487813;35.0;47.5;7;1;0;1;3;21.0;0.0;204.8728;1.08657664658266;162.77589416503906
3286338;5487819;74.0;60.0;3;1;0;2;0;9.0;0.0;324.7182;1.0437357684293642;186.89013671875
3286340;5487825;35.0;47.5;8;2;1;4;0;23.0;0.0;171.3247;1.1333450459857801;171.2739715576172
3286345;5487830;52.0;45.0;5;1;0;2;0;13.0;0.0;130.6399;1.0499854944775675;155.29345703125
3286347;5487838;49.0;72.5;3;2;1;2;0;17.0;0.0;304.5796;1.097644096978261;228.66990661621094
3286348;5487839;75.0;60.0;7;1;0;1;2;16.0;0.0;198.8992;1.0440967082823862;207.01956176757812
3286349;5487842;74.0;47.5;8;1;0;1;5;30.0;0.0;157.4328;1.0097006468791765;159.30804443359375
3286350;5487843;62.0;45.0;11;1;1;1;0;9.0;0.0;264.6727;1.0693207119585812;165.2250213623047
3286353;5487847;33.0;50.0;8;1;0;1;0;21.0;0.0;189.6246;1.047490673678415;151.6105499267578
3286354;5487850;30.0;47.5;5;1;0;2;0;19.0;0.0;215.6234;1.0427439693465552;153.8953399658203
3286355;5487851;64.0;77.5;2;2;0;1;5;18.0;0.0;318.691;1.1074991135614123;286.0439147949219
3286357;5487853;74.0;60.0;4;1;0;1;0;23.0;0.0;169.0609;1.087123042643213;168.31834411621094
3286358;5487854;48.0;52.5;3;4;0;2;0;25.0;0.0;228.89;1.087203460177378;200.44894409179688
3286359;5487855;38.0;45.0;7;2;0;1;0;26.0;0.0;165.8198;1.0873852217889541;169.03001403808594
3286361;5487857;45.0;45.0;0;2;0;4;0;17.0;0.0;148.0784;1.0969189294319768;169.3504180908203
3286363;5487860;36.0;45.0;2;1;0;4;0;22.0;0.0;163.0474;1.1120692510276151;142.0972137451172
3286367;5487866;58.0;45.0;7;2;0;3;0;14.0;0.0;186.9519;1.1384746557804442;182.3492431640625
3286369;5487868;78.0;47.5;2;2;0;2;3;9.0;0.0;194.8303;1.092386553836852;209.60348510742188
3286372;5487871;60.0;45.0;4;1;0;1;1;22.0;0.0;207.3061;1.097218075107293;163.58172607421875
3286373;5487872;50.0;100.0;5;1;1;1;0;23.0;0.0;200.784;1.0971491752330862;235.69114685058594
3286374;5487873;24.0;100.0;8;1;0;1;0;9.0;0.0;358.2227;1.1224581803442384;325.16900634765625
3286381;5487883;48.0;45.0;7;1;0;3;0;8.0;0.0;138.5944;1.0971583267433604;170.25425720214844
3286382;5487884;46.0;100.0;8;4;2;1;0;23.0;0.0;271.5102;1.066663425536131;310.5986328125
3286383;5487886;52.0;47.5;3;3;0;2;2;13.0;0.0;288.025;1.1174030032115267;235.25973510742188
3286386;5487890;67.0;72.5;7;6;1;5;0;17.0;0.0;234.6811;1.0872200616070065;236.7772674560547
3286388;5487893;78.0;45.0;5;6;0;1;0;27.0;0.0;166.9068;1.0968396733985672;170.01815795898438
3286391;5487897;61.0;45.0;5;1;0;1;0;16.0;0.0;152.5661;1.1068645000429322;148.92129516601562
3286392;5487900;49.0;62.5;8;1;0;2;0;13.0;0.0;189.7941;1.0521401877086802;181.01943969726562
3286393;5487903;57.0;45.0;8;2;0;1;0;30.0;0.0;138.006;1.0971986725214844;156.40087890625
3286394;5487905;79.0;70.0;7;1;0;1;0;24.0;0.0;206.522;1.0676344408828116;182.85377502441406
3286395;5487906;58.0;65.0;7;0;0;2;0;18.0;0.0;195.2193;1.018239487591647;164.71339416503906
3286396;5487908;42.0;45.0;5;1;2;1;1;24.0;0.0;191.9283;1.096867944956528;177.2408447265625
